"item","categoria"
"Double Quarter Pound King","No saludable"
"Extra Long Cheeseburger","No saludable"
"Homestyle Cheeseburger","No saludable"
"Jalapeno King Sandwich","No saludable"
"Rodeo Burger","No saludable"
"Rodeo King","No saludable"
"Sourdough King Single","No saludable"
"Sourdough King Double","No saludable"
"Bacon & Cheese Whopper","No saludable"
"DOUBLE WHOPPER w/o Cheese","No saludable"
"DOUBLE WHOPPER w/ Cheese","No saludable"
"WHOPPER w/o Cheese","No saludable"
"WHOPPER w/ Cheese","No saludable"
"WHOPPER JR. w/o Cheese","No saludable"
"WHOPPER JR. w/ Cheese","No saludable"
"Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing","No saludable"
"Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing","No saludable"
"Chicken BLT Salad w/ Grilled Chicken","No saludable"
"Chicken BLT Salad w/ Crispy Chicken","No saludable"
"Chicken Caesar Salad w/ Grilled Chicken","No saludable"
"Chicken Caesar Salad w/ Crispy Chicken","No saludable"
"Chicken, Apple & Cranberry Salad w/ Grilled Chicken","No saludable"
"Chicken, Apple & Cranberry Salad w/ Crispy Chicken","No saludable"
"Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing","No saludable"
"Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing","No saludable"
"Side Caesar Salad with dressing","No saludable"
"Side Garden Salad and Avocado Ranch Dressing","No saludable"
"Big Fish Sandwich","No saludable"
"BK VEGGIE Burger","Saludable"
"Chicken Burger","No saludable"
"Chicken Fries","No saludable"
"4 Piece Chicken Nuggets","No saludable"
"6 Piece Chicken Nuggets","No saludable"
"20 Piece Chicken Nuggets","No saludable"
"Chicken Nuggets (10pc)","No saludable"
"Crispy Chicken Jr.","No saludable"
"Grilled Chili Cheese Dog","No saludable"
"Grilled Hot Dog","No saludable"
"Jalapeno Chicken Fries","No saludable"
"Original Chicken Sandwich","No saludable"
"Pretzel Chicken Fries","No saludable"
"Rodeo Crispy Chicken Sandwich","No saludable"
"Sourdough Chicken Club","No saludable"
"4 Piece Spicy Chicken Nuggets","No saludable"
"Spicy Crispy Chicken Jr.","No saludable"
"Spicy Crispy Chicken Sandwich","No saludable"
"Spicy Crispy Jalapeno Chicken Sandwich","No saludable"
"1/2 lb. FlameThrower® GrillBurger","No saludable"
"1/2 lb. GrillBurger with Cheese","No saludable"
"1/4 lb. Bacon Cheese GrillBurger","No saludable"
"1/4 lb. GrillBurger with Cheese","No saludable"
"1/4 lb. Mushroom Swiss GrillBurger","No saludable"
"Original Cheeseburger","No saludable"
"Original Double Cheeseburger","No saludable"
"4 Piece Chicken Strip Basket w/ Country Gravy","No saludable"
"6 Piece Chicken Strip Basket w/ Country Gravy","No saludable"
"Bacon Cheese Dog","No saludable"
"Cheese Dog","No saludable"
"Chili Cheese Dog","No saludable"
"Chili Dog","No saludable"
"Hot Dog","No saludable"
"Relish Dog","No saludable"
"Barbecue Pork Sandwich","No saludable"
"Breaded Mushrooms","No saludable"
"Regular Cheese Curds","No saludable"
"Large Cheese Curds","No saludable"
"Chili Cheese Mega Dog","No saludable"
"Crispy Fish Sandwich","No saludable"
"Deluxe Cheeseburger","No saludable"
"Deluxe Double Cheeseburger","No saludable"
"Deluxe Double Hamburger","No saludable"
"Deluxe Hamburger","No saludable"
"DQ Ultimate® Burger","No saludable"
"Pork Tenderloin Sandwich","No saludable"
"Steak Finger Basket","No saludable"
"3 chicken strips Chicken Strips","No saludable"
"Chicken Bacon Ranch Sandwich","No saludable"
"Chicken Mozzarella Sandwich","No saludable"
"Crispy Chicken BLT Salad","No saludable"
"Crispy Chicken Garden Greens Salad","Saludable"
"Crispy Chicken Wrap","No saludable"
"Grilled Chicken BLT Salad","No saludable"
"Grilled Chicken Garden Greens Salad","No saludable"
"Grilled Chicken Wrap","No saludable"
"Side Salad","No saludable"
"Turkey BLT Sandwich","No saludable"
"6"" B.L.T.","No saludable"
"Footlong B.L.T.","No saludable"
"6"" BBQ Rib Sandwich","No saludable"
"Footlong BBQ Rib Sandwich","No saludable"
"6"" Big Hot Pastrami","No saludable"
"Footlong Big Hot Pastrami","No saludable"
"6"" Big Philly Cheesesteak","No saludable"
"Footlong Big Philly Cheesesteak","No saludable"
"Kids Mini Sub Black Forest Ham","No saludable"
"6"" Black Forest Ham","Saludable"
"Footlong Black Forest Ham","No saludable"
"6"" Carved Turkey","Saludable"
"Footlong Carved Turkey","No saludable"
"6"" Carved Turkey & Bacon w/ Cheese","No saludable"
"Footlong Carved Turkey & Bacon w/ Cheese","No saludable"
"6"" Chicken & Bacon Ranch Melt","No saludable"
"Footlong Chicken & Bacon Ranch Melt","No saludable"
"6"" Chicken Pizziola Melt","No saludable"
"Footlong Chicken Pizziola Melt","No saludable"
"6"" Cold Cut Combo","Saludable"
"Footlong Cold Cut Combo","No saludable"
"6"" Corned Beef Reuben","No saludable"
"Footlong Corned Beef Reuben","No saludable"
"6"" Italian B.M.T.","No saludable"
"Footlong Italian B.M.T.","No saludable"
"6"" Italian Hero","No saludable"
"Footlong Italian Hero","No saludable"
"6"" Meatball Marinara","No saludable"
"Footlong Meatball Marinara","No saludable"
"6"" Oven Roasted Chicken","Saludable"
"Footlong Oven Roasted Chicken","No saludable"
"Kids Mini Sub Roast Beef","No saludable"
"6"" Roast Beef","Saludable"
"Footlong Roast Beef","No saludable"
"6"" Rotisserie Style Chicken","Saludable"
"Footlong Rotisserie Style Chicken","No saludable"
"6"" Spicy Italian","No saludable"
"Footlong Spicy Italian","No saludable"
"6"" Steak and Cheese","No saludable"
"Footlong Steak and Cheese","No saludable"
"6"" Subway Club","Saludable"
"Footlong Subway Club","No saludable"
"6"" Subway Melt (includes cheese)","No saludable"
"Footlong Subway Melt (includes cheese)","No saludable"
"6"" Subway Seafood Sensation","No saludable"
"Footlong Subway Seafood Sensation","No saludable"
"6"" Sweet Onion Chicken Teriyaki","No saludable"
"Footlong Sweet Onion Chicken Teriyaki","No saludable"
"6"" Tuna","No saludable"
"Footlong Tuna","No saludable"
"6"" Turkey & Bacon Avocado","Saludable"
"Footlong Turkey & Bacon Avocado","No saludable"
"Kids Mini Sub Turkey Breast","No saludable"
"6"" Turkey Breast","Saludable"
"Footlong Turkey Breast","No saludable"
"6"" Turkey Breast & Ham","Saludable"
"Footlong Turkey Breast & Ham","No saludable"
"6"" Turkey Italiano Melt (with Provolone)","No saludable"
"Footlong Turkey Italiano Melt (with Provolone)","No saludable"
"Kids Mini Sub Veggie Delite","No saludable"
"6"" Veggie Delite","No saludable"
"Footlong Veggie Delite","No saludable"
"6"" Veggie Patty","Saludable"
"Footlong Veggie Patty","No saludable"
"Autumn Carved Turkey Salad","No saludable"
"B.L.T. Salad","No saludable"
"Big Hot Pastrami Melt Salad","No saludable"
"Big Philly Cheesesteak Salad","No saludable"
"Black Forest Ham Salad","No saludable"
"Buffalo Chicken Salad (with Ranch dressing)","No saludable"
"Carved Turkey & Bacon w/ Cheese Salad","Saludable"
"Carved Turkey Salad","No saludable"
"Chicken & Bacon Ranch Melt Salad (includes Ranch dressing)","No saludable"
"Cold Cut Combo Salad","No saludable"
"Double Chicken Salad","Saludable"
"Italian B.M.T.® Salad","No saludable"
"Italian Hero Salad","No saludable"
"Meatball Marinara Salad","No saludable"
"Oven Roasted Chicken Salad","Saludable"
"Roast Beef Salad","Saludable"
"Spicy Italian Salad","No saludable"
"Steak & Cheese Salad","Saludable"
"Subway Club Salad","Saludable"
"Subway Melt® Salad","No saludable"
"Sweet Onion Chicken Teriyaki Salad","No saludable"
"Tuna Salad","No saludable"
"Turkey Breast & Ham Salad","No saludable"
"Turkey Breast Salad","No saludable"
"Veggie Delite Salad","No saludable"
"Chipotle Southwest Steak & Cheese Wrap","No saludable"
"Rotisserie-Style Chicken Caesar Wrap","No saludable"
"Turkey, Bacon & Guacamole Wrap","No saludable"
"Cheese & Veggies Pizza","No saludable"
"Cheese Pizza","No saludable"
"Pepperoni Pizza","No saludable"
"Sausage Pizza","No saludable"
"1/2 lb.* Cheesy Potato Burrito","No saludable"
"1/2 lb.* Combo Burrito","No saludable"
"7-Layer Burrito","No saludable"
"Bean Burrito","No saludable"
"Beefy 5-Layer Burrito","No saludable"
"Beefy Fritos® Burrito","No saludable"
"Black Bean Burrito","No saludable"
"Burrito Supreme® – Beef","No saludable"
"Burrito Supreme® - Chicken","No saludable"
"Burrito Supreme® - Steak","No saludable"
"Cantina Power Burrito - Chicken","No saludable"
"Cantina Power Burrito - Steak","No saludable"
"Cantina Power Burrito - Veggie","No saludable"
"Cheesy Bean and Rice Burrito","No saludable"
"Chili Cheese Burrito","No saludable"
"Chicken Crunchy Cheesy Core Burrito","No saludable"
"Steak Crunchy Cheesy Core Burrito","No saludable"
"Beef Crunchy Cheesy Core Burrito","No saludable"
"Loaded Taco Burrito","No saludable"
"Chicken Quesarito","No saludable"
"Steak Quesarito","No saludable"
"Beef Quesarito","No saludable"
"Shredded Chicken Burrito","No saludable"
"Smothered Burrito - Beef","No saludable"
"Smothered Burrito - Shredded Chicken","No saludable"
"Smothered Burrito - Steak","No saludable"
"Chicken Spicy Cheesy Core Burrito","No saludable"
"Steak Spicy Cheesy Core Burrito","No saludable"
"Beef Spicy Cheesy Core Burrito","No saludable"
"Triple Melt Burrito","No saludable"
"XXL Grilled Stuft Burrito - Beef","No saludable"
"XXL Grilled Stuft Burrito - Chicken","No saludable"
"XXL Grilled Stuft Burrito - Steak","No saludable"
"Chicken Soft Taco","No saludable"
"Cool Ranch® Doritos® Double Decker® Taco","No saludable"
"Cool Ranch® Doritos® Locos Taco","No saludable"
"Cool Ranch® Doritos® Locos Taco Supreme","No saludable"
"Crunchy Taco","No saludable"
"Crunchy Taco Supreme®","No saludable"
"Double Decker® Taco","No saludable"
"DOUBLE DECKER® Taco Supreme®","No saludable"
"Spicy Sweet Double Stacked Taco","No saludable"
"Cool Ranch Habanero Double Stacked Taco","No saludable"
"Nacho Crunch Double Stacked Taco","No saludable"
"Fiery Doritos® Double Decker® Taco","No saludable"
"Fiery Doritos® Locos Taco","No saludable"
"Fiery Doritos® Locos Taco Supreme","No saludable"
"Grilled Steak Soft Taco","No saludable"
"Nacho Cheese Doritos® Double Decker® Taco","No saludable"
"Nacho Cheese Doritos® Locos Tacos","No saludable"
"Nacho Cheese Doritos® Locos Tacos Supreme","No saludable"
"Soft Taco Supreme® – Beef","No saludable"
"Soft Taco-Beef","No saludable"
"Spicy Potato Soft Taco","No saludable"
"Chalupa Supreme® - Chicken","No saludable"
"Chalupa Supreme® - Steak","No saludable"
"Chalupa Supreme®–Beef","No saludable"
"Double Chalupa","No saludable"
"Wild Naked Chicken Chalupa","No saludable"
"Mild Naked Chicken Chalupa","No saludable"
"Spicy Double Chalupa","No saludable"
"Fresco Bean Burrito","No saludable"
"Fresco Burrito Supreme® – Chicken","Saludable"
"Fresco Burrito Supreme® – Steak","No saludable"
"Fresco Chicken Soft Taco","No saludable"
"Fresco Crunchy Taco","No saludable"
"Fresco Grilled Steak Soft Taco","No saludable"
"Fresco Soft Taco","No saludable"
"Cheesy Gordita Crunch","No saludable"
"Doritos® Cheesy Gordita Crunch - Cool Ranch","No saludable"
"Doritos® Cheesy Gordita Crunch - Fiery","No saludable"
"Doritos® Cheesy Gordita Crunch - Nacho Cheese","No saludable"
"Double Cheesy Gordita Crunch","No saludable"
"Gordita Supreme® – Beef","No saludable"
"Gordita Supreme® - Chicken","No saludable"
"Gordita Supreme® - Steak","No saludable"
"Nacho Fries Bellgrande","No saludable"
"Nachos BellGrande®","No saludable"
"Nachos Supreme","No saludable"
"Triple Layer Nachos","No saludable"
"Triple Melt Nachos","No saludable"
"Beefy Cheddar Crunchwrap Slider","No saludable"
"Beefy Mini Quesadilla","No saludable"
"Beefy Nacho Griller","No saludable"
"BLT Crunchwrap Slider","No saludable"
"Cantina Power Bowl - Chicken","No saludable"
"Cantina Power Bowl - Steak","No saludable"
"Cantina Power Bowl - Veggie","No saludable"
"Cheese Quesadilla","No saludable"
"Cheese Roll-Up","No saludable"
"Chicken Quesadilla","No saludable"
"Chickstar","No saludable"
"Chipotle Crispy Chicken Griller","No saludable"
"Crispy Chicken Quesadilla","No saludable"
"Crunchwrap Supreme®","No saludable"
"Double Tostada","No saludable"
"Express Taco Salad w/ Chips","No saludable"
"Loaded Potato Griller","No saludable"
"Mexican Pizza","No saludable"
"MexiMelt®","No saludable"
"Steak Quesalupa","No saludable"
"Chicken Quesalupa","No saludable"
"Beef Quesalupa","No saludable"
"Shredded Chicken Mini Quesadilla","No saludable"
"Spicy Chicken Crunchwrap Slider","No saludable"
"Spicy Tostada","No saludable"
"Stacker","No saludable"
"Steak Quesadilla","No saludable"
"Original Triple Double Crunchwrap","No saludable"
"Spicy Triple Double Crunchwrap","No saludable"
"Fiesta Taco Salad-Beef","No saludable"
"Fiesta Taco Salad-Chicken","No saludable"
"Fiesta Taco Salad-Steak","No saludable"
